epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,601.306,1.30091,2.88208,1.43344,1.34744,0.68551,0.55972,0.63771,0.42556,0.67407,0.54893,0.60885,0.34815,1.33184,2.23489,1.33582,1.30195,0.009604,0.009604,0.009604
82,608.701,1.30915,2.85899,1.41845,1.3451,0.62293,0.40617,0.48021,0.29162,0.59794,0.38185,0.43602,0.23822,1.52598,2.81851,1.73516,1.46758,0.00959905,0.00959905,0.00959905
83,615.877,1.32938,2.92879,1.47582,1.369,0.63197,0.60365,0.64821,0.43081,0.67419,0.55696,0.62544,0.33829,1.31402,2.34183,1.33436,1.29577,0.0095941,0.0095941,0.0095941
84,623.15,1.30572,2.83166,1.40365,1.33636,0.71486,0.54427,0.62092,0.41187,0.70751,0.53636,0.58962,0.32542,1.30094,2.31184,1.36251,1.29582,0.00958915,0.00958915,0.00958915
85,630.314,1.29112,2.80878,1.39,1.33823,0.71553,0.57131,0.66014,0.44518,0.70087,0.56219,0.61802,0.34461,1.2289,2.23291,1.27954,1.25252,0.0095842,0.0095842,0.0095842
86,637.52,1.28674,2.80815,1.39416,1.32793,0.67526,0.54187,0.62076,0.40109,0.65264,0.53026,0.57904,0.31169,1.30656,2.26189,1.36858,1.3093,0.00957925,0.00957925,0.00957925
87,643.974,1.32228,2.9135,1.44611,1.36323,0.74586,0.58959,0.67526,0.44293,0.73062,0.58843,0.6415,0.35155,1.2753,2.23035,1.27565,1.29817,0.0095743,0.0095743,0.0095743
88,649.722,1.304,2.8292,1.39848,1.33672,0.69269,0.6234,0.6734,0.43751,0.67438,0.60524,0.62913,0.34182,1.2788,2.29796,1.33211,1.25853,0.00956935,0.00956935,0.00956935
89,655.435,1.28788,2.78246,1.37435,1.32088,0.73805,0.64006,0.72048,0.47232,0.70377,0.61501,0.65578,0.34916,1.23826,2.25304,1.2401,1.23978,0.0095644,0.0095644,0.0095644
90,661.245,1.25875,2.76133,1.34363,1.30366,0.70435,0.66271,0.70261,0.4533,0.67346,0.63396,0.64942,0.35474,1.26837,2.1977,1.23974,1.26715,0.00955945,0.00955945,0.00955945
91,668.453,1.2867,2.79866,1.37722,1.32605,0.72292,0.59157,0.67985,0.44256,0.69661,0.5562,0.63198,0.35231,1.26101,2.17767,1.2831,1.26295,0.0095545,0.0095545,0.0095545
92,675.573,1.24629,2.72547,1.34002,1.31122,0.71186,0.62458,0.66263,0.44043,0.69361,0.57994,0.608,0.33331,1.24018,2.31425,1.33403,1.26181,0.00954955,0.00954955,0.00954955
93,682.742,1.2605,2.82268,1.37397,1.32078,0.78805,0.63155,0.72847,0.49479,0.76134,0.61304,0.68164,0.38089,1.22264,2.19186,1.17748,1.23926,0.0095446,0.0095446,0.0095446
94,689.927,1.29654,2.84095,1.38701,1.34163,0.77259,0.60794,0.68682,0.46218,0.7659,0.59634,0.65578,0.37178,1.23195,2.11511,1.20025,1.23268,0.00953965,0.00953965,0.00953965
95,697.081,1.23634,2.69717,1.32903,1.30488,0.75345,0.62061,0.71394,0.47801,0.73717,0.60073,0.67692,0.36998,1.21099,2.1028,1.16467,1.22169,0.0095347,0.0095347,0.0095347
96,704.29,1.20829,2.64729,1.28693,1.26964,0.80459,0.63766,0.73558,0.50318,0.79717,0.59653,0.68948,0.38418,1.17924,2.12552,1.14421,1.19869,0.00952975,0.00952975,0.00952975
97,711.524,1.23646,2.74617,1.33863,1.30096,0.73014,0.60268,0.67502,0.45237,0.70119,0.56391,0.62289,0.3409,1.2273,2.30428,1.24549,1.25199,0.0095248,0.0095248,0.0095248
98,718.763,1.22435,2.69288,1.28822,1.28753,0.64364,0.5236,0.58167,0.37323,0.63391,0.47951,0.53188,0.28451,1.37855,2.60623,1.44494,1.35002,0.00951985,0.00951985,0.00951985
99,725.882,1.25118,2.69967,1.3178,1.3048,0.68846,0.67064,0.71542,0.47169,0.69476,0.62993,0.66245,0.36741,1.22626,2.09644,1.161,1.2222,0.0095149,0.0095149,0.0095149
100,733.114,1.27412,2.78429,1.33617,1.31683,0.65661,0.56933,0.65861,0.42404,0.63495,0.5666,0.62611,0.32778,1.28105,2.2655,1.34891,1.26684,0.00950995,0.00950995,0.00950995
101,739.319,1.27293,2.81584,1.33416,1.32476,0.70949,0.59715,0.68088,0.45193,0.72159,0.5615,0.63978,0.35224,1.22965,2.17255,1.26821,1.23412,0.009505,0.009505,0.009505
102,745.063,1.26768,2.82963,1.37357,1.3274,0.72751,0.60958,0.68559,0.45984,0.73781,0.59413,0.65364,0.35874,1.22292,2.19682,1.24077,1.22797,0.00950005,0.00950005,0.00950005
103,752.248,1.23726,2.71533,1.3114,1.30016,0.69633,0.61403,0.66202,0.43705,0.67455,0.60025,0.61611,0.3223,1.2912,2.29873,1.35574,1.27131,0.0094951,0.0094951,0.0094951
104,759.624,1.21769,2.6497,1.27436,1.28397,0.77924,0.65695,0.74889,0.51456,0.77115,0.6494,0.71188,0.40018,1.1645,2.08797,1.08276,1.19425,0.00949015,0.00949015,0.00949015
105,766.835,1.23777,2.73428,1.31056,1.29114,0.79572,0.61701,0.73506,0.4887,0.77076,0.59024,0.68216,0.38271,1.18006,2.17302,1.12627,1.20582,0.0094852,0.0094852,0.0094852
106,773.923,1.22224,2.72913,1.28847,1.29159,0.82476,0.67031,0.75693,0.52524,0.77228,0.63281,0.69216,0.38265,1.15041,2.11279,1.06417,1.18426,0.00948025,0.00948025,0.00948025
107,781.113,1.2297,2.69829,1.30131,1.29178,0.81758,0.63173,0.74369,0.50566,0.78601,0.61948,0.6924,0.38439,1.1884,2.11784,1.11794,1.19162,0.0094753,0.0094753,0.0094753
108,788.465,1.23964,2.64998,1.27423,1.27834,0.77846,0.64326,0.7193,0.48186,0.75622,0.61346,0.67319,0.37227,1.22797,2.14381,1.13493,1.21175,0.00947035,0.00947035,0.00947035
109,795.685,1.22209,2.68334,1.28258,1.28987,0.75039,0.64908,0.717,0.48995,0.72233,0.61607,0.66041,0.37469,1.20614,2.0891,1.10484,1.19745,0.0094654,0.0094654,0.0094654
110,802.831,1.22408,2.74845,1.32856,1.30746,0.76912,0.67661,0.73467,0.50363,0.72631,0.63832,0.67276,0.37008,1.19309,2.13765,1.0922,1.2081,0.00946045,0.00946045,0.00946045
111,810.111,1.23643,2.75383,1.29363,1.29624,0.77011,0.65064,0.7247,0.49184,0.72968,0.61492,0.65384,0.36943,1.17566,2.1037,1.1253,1.20177,0.0094555,0.0094555,0.0094555
112,817.275,1.22425,2.68621,1.26265,1.27148,0.67397,0.68314,0.71422,0.4928,0.66116,0.66426,0.68546,0.37491,1.16573,2.12963,1.14601,1.21412,0.00945055,0.00945055,0.00945055
113,824.537,1.23974,2.7248,1.27961,1.29308,0.7396,0.58675,0.68601,0.45349,0.73231,0.57342,0.65052,0.35374,1.25985,2.27825,1.26582,1.26163,0.0094456,0.0094456,0.0094456
114,831.715,1.24784,2.74888,1.28641,1.2995,0.8085,0.60505,0.6987,0.48343,0.76981,0.5718,0.65361,0.36607,1.16957,2.11632,1.15344,1.19552,0.00944065,0.00944065,0.00944065
115,838.972,1.22662,2.66718,1.26604,1.28873,0.85045,0.57757,0.73079,0.49373,0.83362,0.57148,0.69488,0.37155,1.15114,2.10907,1.09187,1.17258,0.0094357,0.0094357,0.0094357
116,846.114,1.22679,2.70415,1.25792,1.28545,0.82416,0.61348,0.74871,0.52032,0.8022,0.58199,0.69596,0.39817,1.1414,2.10105,1.08374,1.1669,0.00943075,0.00943075,0.00943075
117,853.243,1.20477,2.63947,1.25167,1.27592,0.7947,0.62028,0.72983,0.50078,0.77319,0.60327,0.69325,0.38251,1.18466,2.06942,1.10865,1.1949,0.0094258,0.0094258,0.0094258
118,860.447,1.23089,2.67163,1.25089,1.28315,0.7639,0.6724,0.74828,0.52353,0.73969,0.64909,0.7091,0.4004,1.11384,2.02362,1.055,1.15733,0.00942085,0.00942085,0.00942085
119,867.713,1.21909,2.68217,1.25996,1.28232,0.82002,0.65621,0.77244,0.56088,0.84992,0.61526,0.72751,0.42267,1.07158,1.95217,0.98271,1.13376,0.0094159,0.0094159,0.0094159
120,874.899,1.22255,2.70581,1.26687,1.28859,0.80803,0.68215,0.77671,0.55011,0.77689,0.6566,0.72097,0.40882,1.1165,1.9731,1.00277,1.14508,0.00941095,0.00941095,0.00941095
121,882.138,1.21252,2.69241,1.2404,1.27241,0.76195,0.70984,0.77528,0.54111,0.73924,0.67789,0.72197,0.41219,1.1075,1.98123,1.03471,1.14176,0.009406,0.009406,0.009406
122,889.297,1.19441,2.68064,1.2557,1.27096,0.79577,0.69666,0.76813,0.52744,0.80568,0.65708,0.72337,0.40749,1.11601,2.02175,1.04682,1.1512,0.00940105,0.00940105,0.00940105
123,896.603,1.19117,2.63954,1.21644,1.25488,0.86742,0.6804,0.80116,0.55446,0.83716,0.6524,0.73839,0.42271,1.11161,1.98299,0.972,1.14115,0.0093961,0.0093961,0.0093961
124,903.731,1.19035,2.62009,1.20904,1.26154,0.78211,0.73737,0.80398,0.57389,0.74692,0.70204,0.74839,0.43351,1.0681,1.96211,0.95113,1.12084,0.00939115,0.00939115,0.00939115
125,910.868,1.22034,2.68225,1.23742,1.28002,0.78363,0.66997,0.76284,0.52572,0.7451,0.64026,0.69661,0.38379,1.12438,2.04073,1.03846,1.16234,0.0093862,0.0093862,0.0093862
126,918.013,1.18145,2.63715,1.21362,1.25678,0.75009,0.6852,0.75574,0.52076,0.74429,0.63298,0.69885,0.39841,1.14329,2.02372,1.07103,1.18091,0.00938125,0.00938125,0.00938125
127,925.271,1.18467,2.64318,1.19536,1.25382,0.81014,0.67247,0.77152,0.52565,0.77923,0.66199,0.73924,0.40187,1.10723,2.03211,1.02971,1.14517,0.0093763,0.0093763,0.0093763
128,932.513,1.15747,2.50943,1.13936,1.22017,0.82651,0.67671,0.77278,0.53364,0.80513,0.64447,0.71656,0.40556,1.11462,1.99348,1.08816,1.14994,0.00937135,0.00937135,0.00937135
