epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,451.193,1.32761,2.92427,1.54134,1.39789,0.62006,0.55829,0.57021,0.35255,0.58993,0.54007,0.52677,0.28578,1.31918,2.44823,1.49163,1.3012,0.0097129,0.0097129,0.0097129
60,458.587,1.35035,2.90405,1.55721,1.40659,0.585,0.60337,0.59088,0.37348,0.56978,0.56746,0.55622,0.29849,1.32027,2.44012,1.47033,1.31871,0.00970795,0.00970795,0.00970795
61,466.004,1.3836,3.05427,1.61432,1.44153,0.6148,0.51423,0.56499,0.34801,0.62148,0.50836,0.54656,0.27718,1.37788,2.49377,1.54861,1.35858,0.009703,0.009703,0.009703
62,473.516,1.34639,2.92861,1.54939,1.41397,0.65823,0.5708,0.6102,0.39488,0.6596,0.54317,0.57868,0.30554,1.29092,2.2705,1.41634,1.28517,0.00969805,0.00969805,0.00969805
63,480.871,1.3209,2.87168,1.5352,1.39709,0.68015,0.53542,0.58534,0.38229,0.66633,0.52849,0.56276,0.30169,1.3358,2.39258,1.49402,1.31469,0.0096931,0.0096931,0.0096931
64,488.374,1.35383,2.95614,1.53596,1.40677,0.63015,0.58076,0.62097,0.38854,0.63514,0.57053,0.6064,0.31488,1.31713,2.30518,1.4174,1.32143,0.00968815,0.00968815,0.00968815
65,495.985,1.32551,2.86146,1.48628,1.3771,0.65969,0.53648,0.60005,0.37922,0.65767,0.53533,0.58236,0.29577,1.31466,2.39796,1.45297,1.31683,0.0096832,0.0096832,0.0096832
66,503.483,1.3673,2.95526,1.54789,1.40968,0.62021,0.45911,0.51524,0.3085,0.62541,0.46265,0.4996,0.2422,1.42283,2.59791,1.67422,1.42264,0.00967825,0.00967825,0.00967825
67,510.957,1.34325,2.95324,1.55011,1.41439,0.69249,0.52583,0.59879,0.37353,0.69131,0.52269,0.57672,0.2948,1.35967,2.45937,1.51177,1.35022,0.0096733,0.0096733,0.0096733
68,518.509,1.34321,2.94958,1.5287,1.39945,0.67895,0.53633,0.58024,0.36348,0.68827,0.51542,0.55721,0.29397,1.34259,2.43054,1.53003,1.34073,0.00966835,0.00966835,0.00966835
69,526.058,1.36058,3.04753,1.57048,1.40963,0.6325,0.6035,0.62458,0.4021,0.69153,0.5308,0.59817,0.32681,1.29313,2.30125,1.36049,1.28378,0.0096634,0.0096634,0.0096634
70,533.527,1.30769,2.86434,1.48248,1.36175,0.68856,0.58433,0.62631,0.4038,0.67839,0.57398,0.59301,0.35012,1.25991,2.3127,1.42116,1.2591,0.00965845,0.00965845,0.00965845
71,541.139,1.32481,2.88514,1.49278,1.38054,0.61926,0.51212,0.58837,0.38457,0.60851,0.4932,0.55947,0.2889,1.33136,2.46556,1.46661,1.32085,0.0096535,0.0096535,0.0096535
72,548.52,1.33336,2.94243,1.51412,1.40574,0.70511,0.55185,0.6349,0.40259,0.68636,0.53894,0.60292,0.30619,1.28806,2.33007,1.37176,1.28911,0.00964855,0.00964855,0.00964855
73,555.964,1.32102,2.90902,1.47062,1.38169,0.6006,0.54812,0.5608,0.35426,0.59682,0.53532,0.54063,0.29073,1.34405,2.49175,1.4965,1.31491,0.0096436,0.0096436,0.0096436
74,563.631,1.34243,2.9375,1.52554,1.38842,0.6678,0.56308,0.61994,0.40056,0.65115,0.58334,0.59987,0.33111,1.28033,2.26475,1.34788,1.26459,0.00963865,0.00963865,0.00963865
75,571.14,1.32354,2.88656,1.4702,1.37158,0.67832,0.55649,0.62796,0.38942,0.65378,0.54392,0.60466,0.30593,1.23944,2.26743,1.33891,1.24261,0.0096337,0.0096337,0.0096337
76,578.455,1.30278,2.85182,1.47367,1.37461,0.59251,0.56565,0.58782,0.37095,0.58001,0.56113,0.56347,0.28516,1.27831,2.29836,1.38686,1.26867,0.00962875,0.00962875,0.00962875
77,585.71,1.32466,2.89964,1.48445,1.39461,0.59955,0.57076,0.5838,0.36591,0.58217,0.55577,0.55827,0.29504,1.3279,2.3985,1.46041,1.3096,0.0096238,0.0096238,0.0096238
78,593.151,1.31044,2.87153,1.47131,1.37486,0.65864,0.64931,0.67859,0.43915,0.64885,0.63383,0.65191,0.34088,1.22591,2.1876,1.23323,1.23706,0.00961885,0.00961885,0.00961885
