epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,5482.6,1.26167,2.85051,1.70124,1.40032,0.30737,0.28659,0.25139,0.14781,0.3036,0.277,0.23258,0.12716,0.90399,1.77488,1.29047,0.97171,0.0097426,0.0097426,0.0097426
54,5586.47,1.26051,2.83824,1.69324,1.40053,0.37976,0.29949,0.27501,0.15755,0.36968,0.28293,0.26099,0.13573,0.91349,1.74177,1.43463,0.97407,0.00973765,0.00973765,0.00973765
55,5689.71,1.23477,2.88909,1.67483,1.40191,0.36397,0.28523,0.26974,0.15789,0.3341,0.26067,0.24897,0.13059,0.896,1.70741,1.17551,0.95286,0.0097327,0.0097327,0.0097327
56,5792.33,1.2468,2.81439,1.67682,1.40349,0.39234,0.3223,0.271,0.15012,0.35889,0.31094,0.24236,0.12115,0.90358,1.7376,1.79396,0.96578,0.00972775,0.00972775,0.00972775
57,5895.83,1.25425,2.8744,1.70448,1.41745,0.32513,0.2662,0.22586,0.12881,0.41901,0.22624,0.2064,0.10805,0.93785,1.77988,1.37882,0.99753,0.0097228,0.0097228,0.0097228
58,5998.72,1.24373,2.79071,1.67715,1.38686,0.30466,0.25314,0.21436,0.11717,0.28636,0.24107,0.19703,0.09927,0.94366,1.79569,1.44322,1.00783,0.00971785,0.00971785,0.00971785
59,6102.98,1.25249,2.86663,1.69454,1.39403,0.35492,0.25881,0.25199,0.14258,0.35482,0.24575,0.23553,0.12186,0.92163,1.74425,1.39336,0.98863,0.0097129,0.0097129,0.0097129
60,6208.03,1.23713,2.86631,1.66765,1.37413,0.30886,0.29276,0.21872,0.11745,0.2919,0.27357,0.19411,0.09495,0.90896,1.79852,1.57904,0.98638,0.00970795,0.00970795,0.00970795
61,6310.85,1.2209,2.75502,1.62349,1.37418,0.27325,0.28799,0.22478,0.1311,0.29147,0.26439,0.21182,0.1099,0.93646,1.76246,1.34161,1.00056,0.009703,0.009703,0.009703
62,6413.86,1.20548,2.82022,1.63849,1.36183,0.37497,0.30389,0.27057,0.15303,0.35197,0.27702,0.24956,0.13288,0.89528,1.73523,1.29427,0.97233,0.00969805,0.00969805,0.00969805
63,6514.18,1.25208,2.86551,1.67276,1.40433,0.34709,0.31271,0.28667,0.16497,0.39075,0.28293,0.28023,0.1447,0.90553,1.66636,1.3309,0.97046,0.0096931,0.0096931,0.0096931
64,6617.88,1.23923,2.84685,1.65309,1.38909,0.36588,0.34351,0.29281,0.17338,0.35799,0.31925,0.27822,0.14921,0.87599,1.65196,1.22404,0.95043,0.00968815,0.00968815,0.00968815
65,6717.51,1.27704,2.86536,1.69776,1.409,0.41605,0.3584,0.28182,0.15849,0.37183,0.35176,0.26051,0.13743,0.91898,1.67006,1.19388,0.97739,0.0096832,0.0096832,0.0096832
66,6819.43,1.23484,2.84259,1.64164,1.38858,0.4343,0.34534,0.31359,0.17715,0.44616,0.31567,0.2876,0.14797,0.89278,1.63449,1.16211,0.95282,0.00967825,0.00967825,0.00967825
67,6922.29,1.18926,2.72799,1.59077,1.33977,0.37488,0.31987,0.29148,0.17014,0.35232,0.29082,0.2699,0.14687,0.89623,1.67574,1.27779,0.97323,0.0096733,0.0096733,0.0096733
68,7026.74,1.18189,2.69509,1.60044,1.36623,0.38509,0.34441,0.29176,0.16968,0.38196,0.33141,0.27542,0.13948,0.90569,1.70058,1.366,0.97275,0.00966835,0.00966835,0.00966835
69,7131.07,1.22926,2.75878,1.60904,1.3768,0.35979,0.29927,0.27293,0.1731,0.35817,0.2871,0.25818,0.14156,0.8657,1.68313,1.34877,0.94653,0.0096634,0.0096634,0.0096634
70,7234,1.23295,2.78582,1.62999,1.39025,0.3602,0.2996,0.25348,0.14204,0.33539,0.28094,0.22364,0.11129,0.88389,1.77348,1.30277,0.96093,0.00965845,0.00965845,0.00965845
71,7337.73,1.21329,2.77378,1.60179,1.3808,0.4236,0.35072,0.31955,0.18702,0.40745,0.3444,0.30405,0.15616,0.86141,1.66596,1.22891,0.94876,0.0096535,0.0096535,0.0096535
72,7440.58,1.23011,2.75451,1.625,1.38798,0.42518,0.30893,0.32361,0.19,0.41122,0.30225,0.29912,0.15917,0.87054,1.63628,1.19263,0.94994,0.00964855,0.00964855,0.00964855
73,7544.8,1.18848,2.68252,1.54124,1.3407,0.40223,0.31676,0.31459,0.1852,0.41335,0.31563,0.29221,0.15479,0.86246,1.64328,1.30313,0.9329,0.0096436,0.0096436,0.0096436
74,7648.21,1.20048,2.75778,1.6,1.36729,0.35354,0.33653,0.30794,0.18835,0.35409,0.32102,0.28508,0.15772,0.85908,1.60809,1.17572,0.93764,0.00963865,0.00963865,0.00963865
75,7750.83,1.18364,2.70832,1.59214,1.34468,0.40073,0.31298,0.2955,0.17723,0.38528,0.29736,0.27678,0.14743,0.88918,1.68705,1.24196,0.95331,0.0096337,0.0096337,0.0096337
76,7854.19,1.20321,2.75789,1.61945,1.38643,0.42659,0.32365,0.29419,0.17327,0.40141,0.31476,0.27534,0.14405,0.87153,1.63546,1.31822,0.95656,0.00962875,0.00962875,0.00962875
77,7955.74,1.14322,2.65791,1.51626,1.30837,0.44665,0.3386,0.35291,0.20862,0.42801,0.33112,0.32929,0.17648,0.84571,1.55689,1.13343,0.92357,0.0096238,0.0096238,0.0096238
78,8060.11,1.24209,2.8018,1.63093,1.39865,0.36541,0.36234,0.31341,0.18921,0.37056,0.35236,0.29261,0.16009,0.86823,1.57347,1.1781,0.93807,0.00961885,0.00961885,0.00961885
79,8161.95,1.23475,2.7902,1.597,1.40405,0.42569,0.34008,0.32681,0.19533,0.44664,0.32902,0.30626,0.15901,0.85103,1.56619,1.19018,0.91721,0.0096139,0.0096139,0.0096139
80,8266.98,1.2028,2.73493,1.61389,1.37807,0.44797,0.33665,0.30549,0.17732,0.44597,0.31501,0.28804,0.15776,0.8779,1.56528,1.21124,0.95271,0.00960895,0.00960895,0.00960895
81,8371.16,1.17905,2.64539,1.55315,1.32041,0.37641,0.35532,0.31659,0.18706,0.3867,0.33837,0.2982,0.15583,0.8685,1.63979,1.1865,0.93481,0.009604,0.009604,0.009604
82,8469.86,1.1739,2.56014,1.52234,1.31583,0.42441,0.36498,0.33884,0.20694,0.43301,0.33597,0.31505,0.16758,0.831,1.56343,1.19579,0.90319,0.00959905,0.00959905,0.00959905
83,8571.31,1.16849,2.6959,1.52651,1.34563,0.36626,0.34394,0.31111,0.1879,0.36736,0.3268,0.29281,0.15764,0.85866,1.5874,1.2666,0.93072,0.0095941,0.0095941,0.0095941
84,8675.76,1.17491,2.68059,1.54231,1.34398,0.41155,0.33396,0.3035,0.18673,0.41221,0.33819,0.29534,0.15555,0.84304,1.57043,1.24031,0.92573,0.00958915,0.00958915,0.00958915
85,8780.74,1.16298,2.61832,1.50964,1.31251,0.46229,0.34091,0.31519,0.19326,0.47881,0.33694,0.30327,0.16191,0.8635,1.63936,1.22597,0.93302,0.0095842,0.0095842,0.0095842
86,8885.57,1.15739,2.7019,1.54253,1.34667,0.4923,0.36319,0.33875,0.19977,0.4741,0.34436,0.32039,0.16501,0.85766,1.60354,1.29911,0.93295,0.00957925,0.00957925,0.00957925
87,8990.12,1.17942,2.64041,1.55869,1.35349,0.41709,0.35858,0.3136,0.18961,0.38693,0.33886,0.2896,0.15217,0.84616,1.58479,1.19158,0.92235,0.0095743,0.0095743,0.0095743
88,9092.95,1.19327,2.70143,1.5624,1.35527,0.45181,0.38508,0.35505,0.20967,0.43694,0.36571,0.32423,0.17313,0.8549,1.61212,1.22986,0.92472,0.00956935,0.00956935,0.00956935
89,9197.17,1.1533,2.58265,1.49271,1.31663,0.42001,0.39373,0.34877,0.20677,0.40586,0.37401,0.30857,0.16059,0.82134,1.57789,1.11487,0.89352,0.0095644,0.0095644,0.0095644
90,9301.61,1.09761,2.47064,1.42278,1.27145,0.4308,0.38995,0.36275,0.20855,0.40666,0.36404,0.32203,0.16745,0.82904,1.5791,1.17003,0.91651,0.00955945,0.00955945,0.00955945
91,9403.93,1.155,2.63526,1.47929,1.3113,0.45644,0.37905,0.35155,0.2157,0.43575,0.36298,0.32273,0.17348,0.83476,1.5885,1.15397,0.92026,0.0095545,0.0095545,0.0095545
92,9507.35,1.1808,2.6882,1.54199,1.34613,0.46043,0.38507,0.37092,0.22298,0.42394,0.35759,0.33114,0.17757,0.80158,1.49661,1.09125,0.88551,0.00954955,0.00954955,0.00954955
93,9610.96,1.15372,2.62743,1.51555,1.31561,0.42573,0.39784,0.35362,0.22156,0.39735,0.37483,0.31964,0.17518,0.78964,1.51685,1.22939,0.88073,0.0095446,0.0095446,0.0095446
94,9714.4,1.16381,2.68687,1.53204,1.36053,0.46879,0.37054,0.36435,0.22768,0.46723,0.34871,0.34402,0.18797,0.79097,1.53855,1.08087,0.88231,0.00953965,0.00953965,0.00953965
95,9816.44,1.11239,2.55111,1.45224,1.276,0.39239,0.30915,0.30846,0.19132,0.36825,0.29326,0.28121,0.15256,0.84532,1.56751,1.27331,0.92179,0.0095347,0.0095347,0.0095347
96,9920.3,1.13361,2.59479,1.50396,1.32047,0.448,0.34488,0.35452,0.2146,0.41601,0.31514,0.31866,0.17522,0.82301,1.56339,1.20385,0.91468,0.00952975,0.00952975,0.00952975
97,10024.6,1.14799,2.65955,1.4993,1.33915,0.44288,0.36919,0.36457,0.21857,0.42652,0.35334,0.33573,0.18103,0.80156,1.55522,1.17346,0.88913,0.0095248,0.0095248,0.0095248
98,10127.9,1.15343,2.61735,1.50241,1.33878,0.45528,0.38873,0.37817,0.22911,0.4472,0.36663,0.35267,0.18398,0.81696,1.52129,1.20156,0.89655,0.00951985,0.00951985,0.00951985
99,10231.9,1.15714,2.58293,1.5016,1.33011,0.36688,0.38311,0.32814,0.19346,0.35708,0.36603,0.29859,0.16128,0.82561,1.50894,1.23228,0.90483,0.0095149,0.0095149,0.0095149
100,10335.8,1.16893,2.63527,1.52266,1.34996,0.42755,0.37101,0.34276,0.20332,0.41999,0.35653,0.33505,0.17024,0.80213,1.5453,1.13282,0.89044,0.00950995,0.00950995,0.00950995
